(title "Static Temperature") 
(labels "Position" "Static Temperature") 
((xy/key/label "TempExact") 
546.30 547.95
549.63 551.36
553.17 555.09
557.15 559.37
561.81 564.49
567.46 570.76
574.45 578.59
583.23 588.46
594.36 601.02
608.54 617.05
626.67 637.56
649.90 663.88
679.71 697.66
717.99 741.04
767.17 796.79
830.36 868.42
911.57 960.48
1015.93 1078.77
1150.00 1230.73
1322.21 1425.86
1543.26 1676.20
1826.71 1997.01
2189.61 2407.29
2653.11 2930.47
3243.04 3594.85
  0.00   0.04
  0.08   0.12
  0.16   0.20
  0.24   0.28
  0.32   0.36
  0.40   0.44
  0.48   0.52
  0.56   0.60
  0.64   0.68
  0.72   0.76
  0.80   0.84
  0.88   0.92
  0.96   1.00
  1.04   1.08
  1.12   1.16
  1.20   1.24
  1.28   1.32
  1.36   1.40
  1.44   1.48
  1.52   1.56
  1.60   1.64
  1.68   1.72
  1.76   1.80
  1.84   1.88
  1.92   1.96
) 
